Strategy,Speed,FixedDeltaTime,TravelPerTick,Radius,TargetThickness,ShotCount,Detected,Missed,HitRate,Duplicate,WrongTarget,SaturationSuspected
OnTrigger,15,0.02,0.3,0.05,0.05,1000,0,1000,0.000000,0,0,0
OnTrigger,15,0.02,0.3,0.05,0.2,1000,1000,0,100.000000,0,0,0
OnTrigger,15,0.02,0.3,0.05,1,1000,1000,0,100.000000,0,0,0
OnTrigger,40,0.02,0.8,0.05,0.05,1000,0,1000,0.000000,0,0,0
OnTrigger,40,0.02,0.8,0.05,0.2,1000,0,1000,0.000000,0,0,0
OnTrigger,40,0.02,0.8,0.05,1,1000,1000,0,100.000000,0,0,0
OnTrigger,100,0.02,2,0.05,0.05,1000,1000,0,100.000000,0,0,0
OnTrigger,100,0.02,2,0.05,0.2,1000,1000,0,100.000000,0,0,0
OnTrigger,100,0.02,2,0.05,1,1000,1000,0,100.000000,0,0,0
OnTrigger,200,0.02,4,0.05,0.05,1000,0,1000,0.000000,0,0,0
OnTrigger,200,0.02,4,0.05,0.2,1000,0,1000,0.000000,0,0,0
OnTrigger,200,0.02,4,0.05,1,1000,0,1000,0.000000,0,0,0
SphereCastAll,15,0.02,0.3,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastAll,15,0.02,0.3,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastAll,15,0.02,0.3,0.05,1,1000,1000,0,100.000000,0,0,0
SphereCastAll,40,0.02,0.8,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastAll,40,0.02,0.8,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastAll,40,0.02,0.8,0.05,1,1000,1000,0,100.000000,0,0,0
SphereCastAll,100,0.02,2,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastAll,100,0.02,2,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastAll,100,0.02,2,0.05,1,1000,1000,0,100.000000,0,0,0
SphereCastAll,200,0.02,4,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastAll,200,0.02,4,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastAll,200,0.02,4,0.05,1,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,15,0.02,0.3,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,15,0.02,0.3,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,15,0.02,0.3,0.05,1,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,40,0.02,0.8,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,40,0.02,0.8,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,40,0.02,0.8,0.05,1,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,100,0.02,2,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,100,0.02,2,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,100,0.02,2,0.05,1,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,200,0.02,4,0.05,0.05,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,200,0.02,4,0.05,0.2,1000,1000,0,100.000000,0,0,0
SphereCastNonAlloc,200,0.02,4,0.05,1,1000,1000,0,100.000000,0,0,0
